Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Adjusted_Cost,Y_True,Y_Predicted,Error
35,23,58,3.78,164,765.65,765.65,765.65,0.0
78,31,6,3.78,64,325.22,325.22,325.2200000000001,-5.684341886080802e-14
98,61,91,4.28,95,383.93,383.93,383.93,0.0
91,31,12,4.39,39,195.86,195.86,195.86000000000007,-5.684341886080802e-14
96,58,25,3.61,85,403.88,403.88,403.88,0.0
87,32,38,4.76,114,506.13,506.13,506.12999999999994,5.684341886080802e-14
100,66,27,3.53,106,494.71,494.71,494.71,0.0
87,41,97,4.27,37,190.67,190.67,190.6700000000001,-1.1368683772161603e-13
68,23,96,4.77,105,430.95,430.95,430.94999999999993,5.684341886080802e-14
90,75,88,4.1,106,472.55,472.55,472.55000000000007,-5.684341886080802e-14
61,36,72,4.64,109,548.5,548.5,548.5,0.0
86,17,99,4.69,167,803.16,803.16,803.1599999999999,1.1368683772161603e-13
84,37,3,3.83,69,298.74,298.74,298.74,0.0
57,45,78,4.43,112,477.23,477.23,477.2300000000001,-5.684341886080802e-14
100,50,20,4.14,127,420.27,420.27,420.2699999999998,1.7053025658242404e-13
91,81,15,4.68,20,135.18,135.18,135.18000000000018,-1.7053025658242404e-13
44,18,88,3.67,50,239.81,239.81,239.81000000000012,-1.1368683772161603e-13
93,42,75,4.66,160,809.58,809.58,809.5799999999999,1.1368683772161603e-13
22,8,4,4.84,122,489.76,489.76,489.76,0.0
59,24,40,4.0,147,757.96,757.96,757.96,0.0
76,8,40,4.68,157,673.9,673.9,673.8999999999999,1.1368683772161603e-13
94,50,88,4.95,49,300.55,300.55,300.55000000000007,-5.684341886080802e-14
70,60,57,4.05,43,193.09,193.09,193.09000000000015,-1.4210854715202004e-13
81,23,39,4.3,143,430.86,430.86,430.8599999999998,2.2737367544323206e-13
71,61,79,3.85,147,591.3,591.3,591.2999999999998,1.1368683772161603e-13
59,9,30,4.83,140,724.04,724.04,724.04,0.0
32,14,80,3.56,80,305.94,305.94,305.94000000000005,-5.684341886080802e-14
61,15,29,4.49,32,162.01,162.01,162.0100000000001,-1.1368683772161603e-13
39,18,78,4.21,165,881.27,881.27,881.27,0.0
65,10,77,4.36,170,516.46,516.46,516.4599999999998,2.2737367544323206e-13
28,9,26,3.95,114,560.37,560.37,560.37,0.0
67,46,92,4.72,32,117.21,117.21,117.21000000000012,-1.2789769243681803e-13
44,28,30,3.93,42,188.53,188.53,188.53000000000011,-1.1368683772161603e-13
62,21,61,4.57,56,258.52,258.52,258.52000000000004,-5.684341886080802e-14
55,13,45,3.71,40,267.08,267.08,267.0800000000001,-1.1368683772161603e-13
96,80,47,3.77,70,177.2,177.2,177.20000000000002,-2.842170943040401e-14
84,54,59,4.98,43,235.58,235.58,235.58000000000013,-1.1368683772161603e-13
52,22,72,3.6,101,364.56,364.56,364.56,0.0
79,24,0,4.26,82,341.84,341.84,341.84,0.0
49,20,52,4.74,162,612.75,612.75,612.7499999999998,2.2737367544323206e-13
65,5,24,3.54,119,361.68,361.68,361.6799999999999,1.1368683772161603e-13
55,29,92,4.85,44,218.14,218.14,218.1400000000001,-1.1368683772161603e-13
28,8,67,3.78,58,366.29,366.29,366.2900000000002,-1.7053025658242404e-13
80,31,91,4.61,127,470.76,470.76,470.75999999999993,5.684341886080802e-14
73,17,14,4.81,170,761.67,761.67,761.6699999999998,1.1368683772161603e-13
26,12,9,3.75,115,385.65,385.65,385.6499999999999,5.684341886080802e-14
35,24,73,3.76,105,583.05,583.05,583.0500000000001,-1.1368683772161603e-13
61,45,42,4.25,102,506.38,506.38,506.38000000000005,-5.684341886080802e-14
100,85,59,4.46,110,329.48,329.48,329.47999999999996,5.684341886080802e-14
33,14,87,4.81,17,142.78,142.78,142.7800000000002,-1.9895196601282805e-13
80,34,84,3.8,174,673.73,673.73,673.7299999999999,1.1368683772161603e-13
55,12,96,4.66,48,219.92,219.92,219.92000000000004,-5.684341886080802e-14
51,27,86,3.82,152,566.66,566.66,566.6599999999999,1.1368683772161603e-13
68,46,8,4.21,116,436.99,436.99,436.98999999999995,5.684341886080802e-14
